
Epoch 1:   0%|          | 0/14 [00:00<?, ?it/s]
Epoch 1:   0%|          | 0/14 [00:23<?, ?it/s, loss=87.9]
Epoch 1:   7%|▋         | 1/14 [00:23<05:04, 23.44s/it, loss=87.9]
Epoch 1:  14%|█▍        | 2/14 [00:45<04:41, 23.44s/it, loss=96.1]
Epoch 1:  21%|██▏       | 3/14 [00:45<02:35, 14.13s/it, loss=96.1]
Epoch 1:  29%|██▊       | 4/14 [01:07<02:21, 14.13s/it, loss=92.8]
Epoch 1:  36%|███▌      | 5/14 [01:07<01:52, 12.50s/it, loss=92.8]
Epoch 1:  36%|███▌      | 5/14 [01:29<01:52, 12.50s/it, loss=84.7]
Epoch 1:  43%|████▎     | 6/14 [01:29<02:00, 15.03s/it, loss=84.7]
Epoch 1:  50%|█████     | 7/14 [01:50<01:45, 15.03s/it, loss=91.6]
Epoch 1:  57%|█████▋    | 8/14 [01:50<01:19, 13.24s/it, loss=91.6]
Epoch 1:  57%|█████▋    | 8/14 [02:12<01:19, 13.24s/it, loss=83.6]
Epoch 1:  64%|██████▍   | 9/14 [02:12<01:16, 15.34s/it, loss=83.6]
Epoch 1:  64%|██████▍   | 9/14 [02:34<01:16, 15.34s/it, loss=93]  
Epoch 1:  71%|███████▏  | 10/14 [02:34<01:07, 16.99s/it, loss=93]
Epoch 1:  79%|███████▊  | 11/14 [02:56<00:50, 16.99s/it, loss=96.9]
Epoch 1:  86%|████████▌ | 12/14 [02:56<00:28, 14.45s/it, loss=96.9]
Epoch 1:  86%|████████▌ | 12/14 [03:18<00:28, 14.45s/it, loss=100] 
Epoch 1:  93%|█████████▎| 13/14 [03:18<00:16, 16.23s/it, loss=100]
Epoch 1:  93%|█████████▎| 13/14 [03:40<00:16, 16.23s/it, loss=102]
Epoch 1: 100%|██████████| 14/14 [03:40<00:00, 17.64s/it, loss=102]
Epoch 1: 100%|██████████| 14/14 [04:02<00:00, 17.64s/it, loss=88] 
Epoch 1: 15it [04:02, 18.76s/it, loss=88]                        
Epoch 1: 16it [04:24, 18.76s/it, loss=92.8]
Epoch 1: 17it [04:24, 15.41s/it, loss=92.8]
Epoch 1: 17it [04:46, 15.41s/it, loss=87.8]
Epoch 1: 18it [04:46, 16.96s/it, loss=87.8]
Epoch 1: 18it [05:01, 16.96s/it, loss=86.7]
Epoch 1: 19it [05:01, 16.40s/it, loss=86.7]
                                           
Epoch 1 Loss: 91.7343

Epoch 2:   0%|          | 0/14 [00:00<?, ?it/s]
Epoch 2:   0%|          | 0/14 [00:21<?, ?it/s, loss=94.1]
Epoch 2:   7%|▋         | 1/14 [00:21<04:40, 21.55s/it, loss=94.1]
Epoch 2:  14%|█▍        | 2/14 [00:43<04:18, 21.55s/it, loss=91.3]
Epoch 2:  21%|██▏       | 3/14 [00:43<02:31, 13.81s/it, loss=91.3]
Epoch 2:  29%|██▊       | 4/14 [01:05<02:18, 13.81s/it, loss=80.7]
Epoch 2:  36%|███▌      | 5/14 [01:05<01:51, 12.36s/it, loss=80.7]
Epoch 2:  36%|███▌      | 5/14 [01:27<01:51, 12.36s/it, loss=91]  
Epoch 2:  43%|████▎     | 6/14 [01:27<01:59, 14.95s/it, loss=91]
Epoch 2:  50%|█████     | 7/14 [01:50<01:44, 14.95s/it, loss=88.2]
Epoch 2:  57%|█████▋    | 8/14 [01:50<01:19, 13.33s/it, loss=88.2]
Epoch 2:  57%|█████▋    | 8/14 [02:12<01:19, 13.33s/it, loss=82.8]
Epoch 2:  64%|██████▍   | 9/14 [02:12<01:16, 15.38s/it, loss=82.8]
Epoch 2:  64%|██████▍   | 9/14 [02:34<01:16, 15.38s/it, loss=85.4]
Epoch 2:  71%|███████▏  | 10/14 [02:34<01:08, 17.13s/it, loss=85.4]
Epoch 2:  79%|███████▊  | 11/14 [02:56<00:51, 17.13s/it, loss=92.7]
